Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
MicroRNAs in cancer_Homo sapiens_hsa05206,2/297,0.27888606406249505,1.0,0,0,1.9240019240019242,2.456858014628964,MIR199A1;MMP9,KEGG_2016
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750,1/98,0.2913817724582176,1.0,0,0,2.915451895043732,3.595104777832322,NGF,KEGG_2016
Estrogen signaling pathway_Homo sapiens_hsa04915,1/99,0.29387414507199816,1.0,0,0,2.886002886002886,3.5342097583878638,MMP9,KEGG_2016
Toll-like receptor signaling pathway_Homo sapiens_hsa04620,1/106,0.3110804389804445,1.0,0,0,2.6954177897574123,3.1474494717161825,CTSK,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,1/110,0.3207263545237492,1.0,0,0,2.5974025974025974,2.9536805130841315,MMP9,KEGG_2016
Leukocyte transendothelial migration_Homo sapiens_hsa04670,1/118,0.3396205327407137,1.0,0,0,2.4213075060532687,2.614833813141833,MMP9,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,1/120,0.3442625474224455,1.0,0,0,2.380952380952381,2.5389302225265444,MS4A2,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,1/120,0.3442625474224455,1.0,0,0,2.380952380952381,2.5389302225265444,ACTG2,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.3442625474224455,1.0,0,0,2.380952380952381,2.5389302225265444,NGF,KEGG_2016
Lysosome_Homo sapiens_hsa04142,1/123,0.35116532442640724,1.0,0,0,2.3228803716608595,2.4308900270492595,CTSK,KEGG_2016
Phospholipase D signaling pathway_Homo sapiens_hsa04072,1/144,0.3975194611313408,1.0,0,0,1.9841269841269842,1.830379736637324,MS4A2,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,1/146,0.4017600210357489,1.0,0,0,1.9569471624266144,1.7845407655848746,MMP9,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,2/397,0.4061121463960292,1.0,0,0,1.439366678661389,1.2970506439331255,FGF7;MMP9,KEGG_2016
Phagosome_Homo sapiens_hsa04145,1/154,0.4184300279933766,1.0,0,0,1.855287569573284,1.6164111320594647,STX18,KEGG_2016
Transcriptional misregulation in cancer_Homo sapiens_hsa05202,1/180,0.4695078193370918,1.0,0,0,1.5873015873015874,1.2001116283609707,MMP9,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,1/187,0.4824866850984751,1.0,0,0,1.5278838808250572,1.113524758188987,CCL11,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,1/214,0.5296807163798954,1.0,0,0,1.3351134846461947,0.8484390866351016,FGF7,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,2/1239,0.9363736988379668,1.0,0,0,0.4612014297244321,0.030319673141341,HSD3B1;FTCD,KEGG_2016
