Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Acute myeloid leukemia_Homo sapiens_hsa05221,1/57,0.18137588015773454,1.0,0,0,5.012531328320802,8.557311855105628,PIK3CD,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,2/227,0.18866688706587706,1.0,0,0,2.5173064820641917,4.198294074900066,GNG10;PIK3CD,KEGG_2016
mTOR signaling pathway_Homo sapiens_hsa04150,1/60,0.18996619642954285,1.0,0,0,4.761904761904762,7.909091124661247,PIK3CD,KEGG_2016
VEGF signaling pathway_Homo sapiens_hsa04370,1/61,0.19280984159694545,1.0,0,0,4.68384074941452,7.70984005845979,PIK3CD,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,1/62,0.19564364620029545,1.0,0,0,4.6082949308755765,7.5182507197703,PIK3CD,KEGG_2016
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213,1/64,0.201281867798356,1.0,0,0,4.464285714285714,7.156468865673177,PIK3CD,KEGG_2016
Glioma_Homo sapiens_hsa05214,1/65,0.2040863516150643,1.0,0,0,4.395604395604397,6.985547615253172,PIK3CD,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,1/66,0.20688112837392567,1.0,0,0,4.329004329004329,6.820826449046828,PIK3CD,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.20688112837392567,1.0,0,0,4.329004329004329,6.820826449046828,PIK3CD,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,1/67,0.2096662312766084,1.0,0,0,4.264392324093817,6.661997388205188,PIK3CD,KEGG_2016
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664,1/68,0.21244169328699591,1.0,0,0,4.201680672268908,6.508771902520052,PIK3CD,KEGG_2016
Inositol phosphate metabolism_Homo sapiens_hsa00562,1/71,0.22071056230041766,1.0,0,0,4.024144869215292,6.0800929926929435,PIK3CD,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.22071056230041766,1.0,0,0,4.024144869215292,6.0800929926929435,PIK3CD,KEGG_2016
Prolactin signaling pathway_Homo sapiens_hsa04917,1/72,0.22344778852857491,1.0,0,0,3.9682539682539684,5.946736113462168,PIK3CD,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,1/73,0.22617553722407735,1.0,0,0,3.9138943248532287,5.817784218452891,PIK3CD,KEGG_2016
B cell receptor signaling pathway_Homo sapiens_hsa04662,1/73,0.22617553722407735,1.0,0,0,3.9138943248532287,5.817784218452891,PIK3CD,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,1/78,0.2396732457824845,1.0,0,0,3.663003663003663,5.2325229274610265,PIK3CD,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,1/86,0.260788382019869,1.0,0,0,3.3222591362126246,4.4652690943247,PIK3CD,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,1/87,0.2633867919915771,1.0,0,0,3.2840722495894914,4.38138468055657,PIK3CD,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,1/88,0.26597619826432034,1.0,0,0,3.2467532467532467,4.2998326441991965,GNG10,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.268556631635654,1.0,0,0,3.210272873194221,4.220524779148853,PIK3CD,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,1/91,0.27369070203129564,1.0,0,0,3.1397174254317117,4.0683096857138015,GNG10,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,1/93,0.27878924714484965,1.0,0,0,3.0721966205837177,3.9241141910493713,PIK3CD,KEGG_2016
Longevity regulating pathway - mammal_Homo sapiens_hsa04211,1/94,0.2813252734348877,1.0,0,0,3.03951367781155,3.8548441410115575,PIK3CD,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,1/95,0.28385250917112903,1.0,0,0,3.0075187969924815,3.787369953762304,GNG10,KEGG_2016
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914,1/98,0.2913817724582176,1.0,0,0,2.915451895043732,3.595104777832322,PIK3CD,KEGG_2016
Phosphatidylinositol signaling system_Homo sapiens_hsa04070,1/98,0.2913817724582176,1.0,0,0,2.915451895043732,3.595104777832322,PIK3CD,KEGG_2016
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750,1/98,0.2913817724582176,1.0,0,0,2.915451895043732,3.595104777832322,PIK3CD,KEGG_2016
Estrogen signaling pathway_Homo sapiens_hsa04915,1/99,0.29387414507199816,1.0,0,0,2.886002886002886,3.5342097583878638,PIK3CD,KEGG_2016
Amoebiasis_Homo sapiens_hsa05146,1/100,0.29635787620352466,1.0,0,0,2.8571428571428568,3.4748214678048983,PIK3CD,KEGG_2016
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723,1/101,0.2988329953987937,1.0,0,0,2.8288543140028284,3.416889407218951,GNG10,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,1/101,0.2988329953987937,1.0,0,0,2.8288543140028284,3.416889407218951,PIK3CD,KEGG_2016
Choline metabolism in cancer_Homo sapiens_hsa05231,1/101,0.2988329953987937,1.0,0,0,2.8288543140028284,3.416889407218951,PIK3CD,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,1/103,0.30375751562056863,1.0,0,0,2.773925104022191,3.3052026126205587,PIK3CD,KEGG_2016
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,1/104,0.3062069751989007,1.0,0,0,2.7472527472527477,3.2513571871955262,PIK3CD,KEGG_2016
T cell receptor signaling pathway_Homo sapiens_hsa04660,1/104,0.3062069751989007,1.0,0,0,2.7472527472527477,3.2513571871955262,PIK3CD,KEGG_2016
Toll-like receptor signaling pathway_Homo sapiens_hsa04620,1/106,0.3110804389804445,1.0,0,0,2.6954177897574123,3.1474494717161825,PIK3CD,KEGG_2016
Insulin resistance_Homo sapiens_hsa04931,1/109,0.31832743020830084,1.0,0,0,2.6212319790301444,3.0004581158315213,PIK3CD,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,1/110,0.3207263545237492,1.0,0,0,2.5974025974025974,2.9536805130841315,PIK3CD,KEGG_2016
Serotonergic synapse_Homo sapiens_hsa04726,1/112,0.32549926537706503,1.0,0,0,2.5510204081632653,2.8632527404136687,GNG10,KEGG_2016
Glutamatergic synapse_Homo sapiens_hsa04724,1/114,0.3302391151786854,1.0,0,0,2.506265664160401,2.776787707921533,GNG10,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,2/341,0.3357311182034803,1.0,0,0,1.6757436112274822,1.828981454254988,GNG10;PIK3CD,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,1/118,0.3396205327407137,1.0,0,0,2.4213075060532687,2.614833813141833,PIK3CD,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,1/120,0.3442625474224455,1.0,0,0,2.380952380952381,2.5389302225265444,PIK3CD,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.3442625474224455,1.0,0,0,2.380952380952381,2.5389302225265444,PIK3CD,KEGG_2016
Platelet activation_Homo sapiens_hsa04611,1/122,0.3488723948076373,1.0,0,0,2.34192037470726,2.4661570364465315,PIK3CD,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.3534502945066562,1.0,0,0,2.3041474654377883,2.3963419657401874,PIK3CD,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,1/127,0.360257719264972,1.0,0,0,2.249718785151856,2.2968180355671453,EPHA1,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.3647567014283602,1.0,0,0,2.2148394241417497,2.233720308053828,GNG10,KEGG_2016
Osteoclast differentiation_Homo sapiens_hsa04380,1/132,0.3714467595639247,1.0,0,0,2.1645021645021645,2.143614149718729,PIK3CD,KEGG_2016
FoxO signaling pathway_Homo sapiens_hsa04068,1/133,0.37366130802261016,1.0,0,0,2.1482277121374858,2.1147271436897506,PIK3CD,KEGG_2016
Measles_Homo sapiens_hsa05162,1/136,0.3802589106870085,1.0,0,0,2.100840336134454,2.0313086436090546,PIK3CD,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,1/139,0.38678799915956935,1.0,0,0,2.055498458376156,1.9524738784008075,PIK3CD,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,1/140,0.3889492580337511,1.0,0,0,2.0408163265306123,1.927155889682892,PIK3CD,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,1/142,0.3932492747482108,1.0,0,0,2.0120724346076457,1.877890505627088,PIK3CD,KEGG_2016
Phospholipase D signaling pathway_Homo sapiens_hsa04072,1/144,0.3975194611313408,1.0,0,0,1.9841269841269842,1.830379736637324,PIK3CD,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,1/146,0.4017600210357489,1.0,0,0,1.9569471624266144,1.7845407655848746,PIK3CD,KEGG_2016
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,1/148,0.4059711571358863,1.0,0,0,1.9305019305019304,1.7402956823189188,PIK3CD,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,2/397,0.4061121463960292,1.0,0,0,1.439366678661389,1.2970506439331255,GNG10;PIK3CD,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,1/151,0.4122331314537376,1.0,0,0,1.8921475875118257,1.6767573067625798,PIK3CD,KEGG_2016
Jak-STAT signaling pathway_Homo sapiens_hsa04630,1/158,0.4265924758832385,1.0,0,0,1.8083182640144664,1.540553545216875,PIK3CD,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,1/158,0.4265924758832385,1.0,0,0,1.8083182640144664,1.540553545216875,PIK3CD,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,1/167,0.4445473627935464,1.0,0,0,1.710863986313088,1.3869951697830338,PIK3CD,KEGG_2016
Influenza A_Homo sapiens_hsa05164,1/175,0.4600412831480875,1.0,0,0,1.6326530612244898,1.2676555878397096,PIK3CD,KEGG_2016
Alcoholism_Homo sapiens_hsa05034,1/179,0.4676276931387506,1.0,0,0,1.5961691939345568,1.2132207935286503,GNG10,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,1/199,0.5040118379986637,1.0,0,0,1.4357501794687724,0.9837121652462636,PIK3CD,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,1/202,0.5092537303052148,1.0,0,0,1.4144271570014144,0.9544680322572836,PIK3CD,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,1/202,0.5092537303052148,1.0,0,0,1.4144271570014144,0.9544680322572836,PIK3CD,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.5109888629741101,1.0,0,0,1.4074595355383532,0.9449788650065459,PIK3CD,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,1/205,0.5144410062515927,1.0,0,0,1.3937282229965156,0.9263754600315662,PIK3CD,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.5246539468614675,1.0,0,0,1.3540961408259988,0.8734141943939281,PIK3CD,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,1/214,0.5296807163798954,1.0,0,0,1.3351134846461947,0.8484390866351016,PIK3CD,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.5976587548053997,1.0,0,0,1.1074197120708749,0.5700280532103724,PIK3CD,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.98871678595464,1.0,0,0,0.2306007148622161,0.002616707579695148,FUT7,KEGG_2016
